Date,Calendar Year,Fiscal Year Date/Time,Homicide Offenses,"Sex Offenses, Forcible",Assault Offenses,"  Sex Offenses, Non-forcible ",Kidnapping/Abduction,Robbery,Arson,Extortion/Blackmail,Burglary/Breaking and Entering,Larceny/Theft Offenses,Motor Vehicle Theft,Fraud Offenses,Counterfeiting/Forgery,Embezzlement,Stolen Property Offenses,Destruction/Damage/Vandalism,Bribery,Drug/Narcotic Offenses,Gambling Offenses,Prostitution Offenses,Pornography/Obscene Material,Weapon Law Violations,Total Crimes Against Persons,Total Crimes Against Property,Total Crimes Against Society
04/30/2013 12:00:00 AM,2013,04/30/2013 12:00:00 AM,8,34,922,1,4,147,11,0,522,1185,319,121,30,12,21,399,0,299,0,11,1,45,969,2767,356
10/31/2017 12:00:00 AM,2017,04/30/2018 12:00:00 AM,10,41,959,1,5,151,15,1,383,1103,395,106,42,21,40,454,0,235,0,10,2,27,1016,2711,274
07/31/2016 12:00:00 AM,2016,04/30/2017 12:00:00 AM,9,35,1322,2,12,210,21,2,489,1241,395,137,40,20,24,553,0,312,0,12,0,45,1380,3132,369
10/31/2013 12:00:00 AM,2013,04/30/2014 12:00:00 AM,7,31,918,2,4,144,13,0,576,1313,411,133,46,22,15,403,0,309,0,16,1,53,962,3076,379
11/30/2013 12:00:00 AM,2013,04/30/2014 12:00:00 AM,6,36,820,1,1,154,24,0,531,1130,316,139,36,14,12,380,0,287,0,3,0,27,864,2736,317
10/31/2012 12:00:00 AM,2012,04/30/2013 12:00:00 AM,11,33,887,1,5,161,31,1,655,1341,345,131,63,12,17,422,0,291,0,15,4,36,937,3179,346
02/28/2014 12:00:00 AM,2014,04/30/2014 12:00:00 AM,1,31,649,2,5,88,12,1,330,858,276,99,21,8,15,309,0,282,0,6,0,35,688,2017,323
10/31/2014 12:00:00 AM,2014,04/30/2015 12:00:00 AM,7,47,1051,2,8,192,16,1,561,1201,305,154,70,20,16,454,0,291,0,6,0,46,1115,2990,343
03/31/2016 12:00:00 AM,2016,04/30/2016 12:00:00 AM,4,32,969,1,5,135,18,2,361,909,266,117,36,8,21,421,0,369,0,13,2,65,1011,2296,449
11/30/2015 12:00:00 AM,2015,04/30/2016 12:00:00 AM,8,34,1067,1,8,160,18,0,464,1048,304,145,31,14,19,398,0,284,0,10,1,47,1118,2601,342
08/31/2017 12:00:00 AM,2017,04/30/2018 12:00:00 AM,17,54,1194,2,10,167,17,1,393,1191,434,128,37,18,27,514,0,323,0,4,1,31,1277,2927,359
02/28/2015 12:00:00 AM,2015,04/30/2015 12:00:00 AM,3,35,734,0,3,102,6,0,283,810,295,166,27,14,20,346,0,293,0,7,1,27,775,2069,328
06/30/2017 12:00:00 AM,2017,04/30/2018 12:00:00 AM,16,50,1181,1,4,164,28,2,383,1151,400,115,39,21,20,468,0,262,0,12,0,36,1252,2791,310
12/31/2012 12:00:00 AM,2012,04/30/2013 12:00:00 AM,8,29,831,3,5,128,23,0,546,1274,322,109,45,16,14,416,0,195,0,1,1,18,876,2893,215
12/31/2014 12:00:00 AM,2014,04/30/2015 12:00:00 AM,9,42,876,2,1,145,17,0,518,1075,338,109,47,18,12,400,0,250,0,4,0,40,930,2679,294
02/28/2017 12:00:00 AM,2017,04/30/2017 12:00:00 AM,9,49,946,2,6,120,16,0,321,910,312,128,29,13,35,382,0,427,0,11,1,37,1012,2266,476
05/31/2012 12:00:00 AM,2012,04/30/2013 12:00:00 AM,4,41,1063,0,3,137,27,0,688,1402,237,135,36,13,15,469,0,244,0,39,0,40,1111,3159,323
11/30/2012 12:00:00 AM,2012,04/30/2013 12:00:00 AM,8,33,818,1,8,137,30,0,637,1335,288,132,55,18,14,413,0,232,0,0,0,37,868,3059,269
05/31/2017 12:00:00 AM,2017,04/30/2018 12:00:00 AM,17,42,1267,1,12,157,19,1,387,1080,327,129,48,21,21,423,0,273,0,7,1,38,1339,2613,319
09/30/2013 12:00:00 AM,2013,04/30/2014 12:00:00 AM,12,40,1000,2,9,150,14,0,483,1279,383,140,43,10,18,379,0,281,0,5,0,55,1063,2899,341
08/31/2016 12:00:00 AM,2016,04/30/2017 12:00:00 AM,14,53,1325,3,4,191,20,0,445,1281,382,120,34,18,19,510,0,393,0,10,1,47,1399,3020,451
05/30/2015 12:00:00 AM,2015,04/30/2016 12:00:00 AM,6,38,1112,4,4,141,18,0,391,1056,255,148,35,17,17,415,0,270,0,20,1,52,1164,2493,343
