"game_id","names","min_players","max_players","avg_time","min_time","max_time","year","geek_rating","num_votes","age","mechanic","owned","category1","category2","category3","category4","category5","category6","category7","category8","category9","category10","category11","category12","designer"
17526,"Hecatomb",2,4,30,30,30,2005,5.70135,360,15,"Hand Management",748,"Card Game"," Collectible Components"," Horror",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mike Elliott, Jonathan Tweet"
156,"Wildlife Adventure",2,6,60,60,60,1985,5.92648,535,10,"Point to Point Movement, Route/Network Building",786,"Animals"," Exploration"," Transportation",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wolfgang Kramer, Ursula Kramer"
2397,"Backgammon",2,2,30,30,30,-3000,6.37107,9684,8,"Betting/Wagering, Dice Rolling, Roll / Spin and Move",14104,"Abstract Strategy"," Dice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Uncredited)"
8147,"Maka Bana",2,6,60,45,60,2003,5.90326,658,10,"Secret Unit Deployment, Simultaneous Action Selection",897,"Bluffing"," Card Game"," City Building",NA,NA,NA,NA,NA,NA,NA,NA,NA,"François Haffner"
92190,"Super Dungeon Explore",2,6,120,120,120,2011,6.37715,2338,10,"Action Point Allowance System, Dice Rolling, Modular Board, Partnerships, Variable Phase Order, Variable Player Powers",5182,"Adventure"," Exploration"," Fantasy"," Fighting"," Miniatures",NA,NA,NA,NA,NA,NA,NA,"Chris Birkenhagen, John Cadice, Deke Stella"
1668,"Modern Naval Battles",2,6,90,90,90,1989,5.73222,401,12,"Hand Management, Take That",689,"Card Game"," Modern Warfare"," Nautical"," Print & Play"," Wargame",NA,NA,NA,NA,NA,NA,NA,"Alan Emrich, Beth Queman, Dan Verssen"
28089,"Château Roquefort",2,4,30,30,30,2007,6.36975,2051,6,"Action Point Allowance System, Memory",2652,"Animals"," Children's Game"," Maze"," Memory",NA,NA,NA,NA,NA,NA,NA,NA,"Jens-Peter Schliemann, Bernhard Weber"
4854,"7th Fleet",2,2,120,120,120,1987,5.85188,354,12,"Dice Rolling, Hex-and-Counter",938,"Modern Warfare"," Nautical"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Joseph M. Balkoski"
75333,"Target Earth",1,4,90,90,90,2010,5.75386,303,12,"Co-operative Play, Dice Rolling, Simulation",508,"Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jacobo Cagigal"
21791,"Masons",2,4,45,45,45,2006,6.19622,2299,8,"Dice Rolling, Hand Management",2756,"City Building"," Medieval",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leo Colovini"
27965,"The Tide at Sunrise: The Russo-Japanese War, 1904-1905",1,2,240,240,240,2010,5.74398,198,12,"Hex-and-Counter",692,"Post-Napoleonic"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yukihiro Kuroda, Adam Starkweather"
30645,"Tammany Hall",3,5,90,90,90,2007,6.75216,2825,12,"Area Control / Area Influence, Auction/Bidding, Variable Player Powers",3829,"Negotiation"," Political"," Territory Building",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doug Eckhart"
191051,"Outlive",2,4,110,40,110,2017,6.68173,1688,14,"Area Movement, Set Collection, Variable Player Powers, Worker Placement",3082,"Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grégory Oliver"
464,"Billabong",2,4,30,30,30,1995,6.03068,717,10,"Grid Movement",759,"Abstract Strategy"," Animals"," Racing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eric Solomon"
141932,"The Agents",2,5,40,20,40,2013,5.96712,1357,8,"Hand Management",2930,"Card Game"," Spies/Secret Agents",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saar Shai"
192834,"Fight for Olympus",2,2,30,30,30,2016,5.96256,614,12,"Hand Management",1110,"Ancient"," Card Game"," Mythology",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Matthias Cramer"
458,"Sherlock Holmes: The Card Game",3,8,60,60,60,1991,5.71513,462,10,"none",911,"Card Game"," Murder/Mystery"," Novel-based",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roger Heyworth"
1444,"SPQR",2,2,240,240,240,1992,6.01325,444,13,"Dice Rolling, Hex-and-Counter, Simulation",1078,"Ancient"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richard H. Berg, Mark Herman"
12350,"Battlestations",2,8,240,240,240,2004,6.19148,910,12,"Co-operative Play, Dice Rolling, Hex-and-Counter, Role Playing",1679,"Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jeff Siadek"
155873,"Power Grid Deluxe: Europe/North America",2,6,120,120,120,2014,7.30793,2658,12,"Auction/Bidding, Route/Network Building",4864,"Economic"," Industry / Manufacturing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Friedemann Friese"
150312,"Welcome to the Dungeon",2,4,30,30,30,2013,6.55404,7903,10,"Memory, Player Elimination, Press Your Luck",13950,"Bluffing"," Card Game"," Fantasy"," Fighting",NA,NA,NA,NA,NA,NA,NA,NA,"Masato Uesugi"
